gene	avg_corr	module
ENSG00000136754.16	0.507439619375096	11
ENSG00000137497.17	0.595152445931803	10
ENSG00000183401.11	0.598576997609728	10
ENSG00000173786.16	0.716145546048933	5
ENSG00000019144.18	0.718229142097109	5
ENSG00000164124.10	0.720103289186398	5
ENSG00000070214.15	0.72793874454241	5
ENSG00000080822.16	0.728870475753552	5
ENSG00000051523.10	0.636065191237744	4
ENSG00000160255.17	0.637786241047855	4
ENSG00000158869.10	0.637848098766956	4
ENSG00000011600.11	0.647502175434448	4
ENSG00000162511.7	0.647721886583709	4
ENSG00000084444.13	0.524302847224739	1
ENSG00000142686.7	0.524485660046372	1
ENSG00000182674.5	0.524552411778754	1
ENSG00000111674.8	0.52496195836003	1
ENSG00000273079.5	0.525078397883213	1
ENSG00000154917.10	0.525946516561136	1
ENSG00000184613.10	0.526055777860854	1
ENSG00000182732.16	0.526640797887921	1
ENSG00000177181.14	0.526691839384152	1
ENSG00000197381.15	0.526768309047063	1
ENSG00000102003.10	0.52694477528523	1
ENSG00000133019.11	0.527037362351903	1
ENSG00000005810.17	0.527081022681274	1
ENSG00000128245.14	0.527380766319837	1
ENSG00000139174.11	0.527503050009919	1
ENSG00000153558.13	0.527528768203649	1
ENSG00000164588.6	0.527673054762453	1
ENSG00000107518.16	0.527688596996953	1
ENSG00000177614.10	0.52769141792387	1
ENSG00000110427.14	0.527707642495474	1
ENSG00000165868.13	0.527967836199687	1
ENSG00000172915.18	0.527982218616452	1
ENSG00000175874.9	0.528207522769249	1
ENSG00000109738.10	0.52834908852419	1
ENSG00000101079.20	0.528605772706974	1
ENSG00000068615.17	0.528785876310024	1
ENSG00000120053.10	0.528788638850822	1
ENSG00000188859.6	0.528866081086541	1
ENSG00000149269.9	0.529179619888155	1
ENSG00000176490.4	0.52960360656292	1
ENSG00000196876.15	0.529905319265474	1
ENSG00000136928.6	0.530274693686353	1
ENSG00000075340.22	0.53034624690648	1
ENSG00000221866.9	0.530485811794891	1
ENSG00000158445.9	0.530701964491193	1
ENSG00000006432.15	0.530881702466976	1
ENSG00000152931.7	0.530909079630058	1
ENSG00000067842.17	0.53097490900211	1
ENSG00000139970.16	0.531541298888069	1
ENSG00000151090.17	0.532345252416119	1
ENSG00000183715.13	0.532454421259706	1
ENSG00000156486.7	0.53249868191014	1
ENSG00000160014.16	0.533495336559621	1
ENSG00000169933.13	0.533586506664706	1
ENSG00000183454.16	0.534295407735359	1
ENSG00000019505.7	0.535234121381124	1
ENSG00000164715.5	0.536112817730934	1
ENSG00000002746.14	0.537660015097751	1
ENSG00000082458.11	0.538551383937378	1
ENSG00000145087.12	0.539721478854212	1
ENSG00000073969.18	0.54002506842288	1
ENSG00000165152.8	0.540070282047046	1
ENSG00000184368.15	0.542150779739861	1
ENSG00000132932.16	0.544850548461446	1
ENSG00000158195.10	0.710163922786587	6
ENSG00000101367.8	0.713287860034677	6
ENSG00000102158.19	0.717749666401402	6
ENSG00000183255.11	0.720416072054583	6
ENSG00000134717.17	0.568245308137842	9
ENSG00000168288.12	0.57650115306064	9
ENSG00000138696.10	0.692156151492262	7
ENSG00000100427.15	0.692361306861128	7
ENSG00000162407.8	0.692410658331707	7
ENSG00000125398.5	0.69316856941478	7
ENSG00000185432.11	0.693870967328054	7
ENSG00000134250.19	0.699976246440821	7
