gene	avg_corr	module
ENSG00000105726.16	0.570053948994377	13
ENSG00000128159.11	0.573284860451542	13
ENSG00000011600.11	0.658531585642298	7
ENSG00000143119.12	0.658724684828123	7
ENSG00000162511.7	0.667537967877355	7
ENSG00000176018.12	0.515235197542122	8
ENSG00000119396.10	0.517854640454886	8
ENSG00000145817.16	0.518118281062355	8
ENSG00000128595.16	0.639468136197559	5
ENSG00000185009.12	0.639748658363001	5
ENSG00000113658.16	0.640989107809101	5
ENSG00000144224.16	0.642895167394922	5
ENSG00000067167.7	0.643924095930426	5
ENSG00000266412.5	0.663711508855189	5
ENSG00000135926.14	0.648372188875129	12
ENSG00000183255.11	0.65476815845729	12
ENSG00000198276.15	0.553119745825766	6
ENSG00000167615.16	0.558575313733905	6
ENSG00000127054.20	0.561404268765426	6
ENSG00000104852.14	0.57293353246884	6
ENSG00000114948.12	0.55287070954322	1
ENSG00000157152.16	0.553104994886545	1
ENSG00000183785.14	0.553566331240416	1
ENSG00000172375.12	0.553752383622851	1
ENSG00000273079.5	0.553943303761679	1
ENSG00000157445.14	0.554084091443247	1
ENSG00000163673.7	0.55413488556977	1
ENSG00000110427.14	0.55435573264327	1
ENSG00000168490.13	0.554571656179803	1
ENSG00000137843.11	0.554726895288575	1
ENSG00000189410.11	0.555331600051099	1
ENSG00000078328.19	0.555910251589839	1
ENSG00000082458.11	0.55613810197463	1
ENSG00000068615.17	0.556225946589299	1
ENSG00000145428.14	0.556248021834114	1
ENSG00000003096.14	0.556579098273582	1
ENSG00000137825.10	0.55663768143441	1
ENSG00000144406.18	0.557419966556045	1
ENSG00000136531.15	0.557925637376864	1
ENSG00000197586.12	0.558078228061407	1
ENSG00000196872.11	0.558343247918142	1
ENSG00000196876.15	0.558353094339666	1
ENSG00000135709.12	0.558622974680228	1
ENSG00000065923.9	0.559097935297488	1
ENSG00000132879.13	0.559213984869873	1
ENSG00000164061.4	0.559225225970675	1
ENSG00000172995.16	0.559349770164256	1
ENSG00000130477.15	0.55985257955649	1
ENSG00000123064.12	0.560591867122385	1
ENSG00000198216.10	0.560647683871451	1
ENSG00000151948.11	0.560718015734558	1
ENSG00000138028.15	0.560928641192472	1
ENSG00000152495.10	0.560938577619376	1
ENSG00000135824.12	0.562209874741192	1
ENSG00000163995.19	0.562425288991533	1
ENSG00000004660.14	0.563041171023953	1
ENSG00000143502.14	0.565631370775599	1
ENSG00000141404.15	0.566157108772946	1
ENSG00000111218.11	0.566319439912448	1
ENSG00000075340.22	0.568894427308592	1
ENSG00000166111.9	0.570951624831062	1
ENSG00000166265.11	0.646199662154736	11
ENSG00000163513.17	0.65325633055714	11
ENSG00000213719.8	0.680992659431407	10
ENSG00000158710.14	0.692381061578034	10
ENSG00000065809.13	0.565482923749093	2
ENSG00000070214.15	0.566122682426633	2
ENSG00000187239.16	0.566940141103312	2
ENSG00000166348.18	0.567486769961229	2
ENSG00000147459.17	0.568729125419833	2
ENSG00000072864.14	0.569832577047289	2
ENSG00000057704.12	0.569948561734114	2
ENSG00000127946.16	0.570071239195972	2
ENSG00000141458.12	0.570613178384061	2
ENSG00000080822.16	0.573191790440683	2
ENSG00000150867.13	0.573398011006175	2
ENSG00000275832.4	0.575574102832891	2
ENSG00000141540.10	0.581378729520914	2
ENSG00000143418.19	0.582658950470814	2
ENSG00000124126.13	0.583696186377078	2
ENSG00000068903.19	0.593528383992872	2
ENSG00000185432.11	0.673929226106306	4
ENSG00000079215.13	0.675454387871134	4
ENSG00000262655.3	0.679125717615737	4
ENSG00000173402.11	0.681029662848265	4
ENSG00000134250.19	0.688240578931092	4
ENSG00000115109.13	0.689903526864758	4
ENSG00000162407.8	0.696753920677886	4
