gene	avg_corr	module
ENSG00000152556.15	0.671604676366083	10
ENSG00000110436.11	0.633076140144711	4
ENSG00000148053.15	0.633613601839375	4
ENSG00000148672.8	0.633684567369001	4
ENSG00000182902.13	0.639925354768957	4
ENSG00000080493.15	0.645750013657839	4
ENSG00000106052.13	0.524402266058282	6
ENSG00000197713.14	0.528496047244967	6
ENSG00000166924.8	0.809824746547024	8
ENSG00000163013.11	0.813460481528121	8
ENSG00000077080.9	0.795419292555397	2
ENSG00000198934.4	0.795952254780866	2
ENSG00000073969.18	0.797716837239647	2
ENSG00000132639.12	0.798649405358376	2
ENSG00000184368.15	0.801276156224685	2
ENSG00000176788.8	0.803198664325849	2
ENSG00000166111.9	0.804215204084836	2
ENSG00000075340.22	0.8065311633684	2
ENSG00000136044.11	0.567532755289745	7
ENSG00000073712.14	0.571027190885789	7
ENSG00000196090.12	0.69382702542064	9
ENSG00000051523.10	0.609386299535098	3
ENSG00000011600.11	0.611457053817735	3
ENSG00000066336.11	0.612076208109229	3
ENSG00000158869.10	0.614624194451205	3
ENSG00000213654.9	0.615127062130874	3
ENSG00000162511.7	0.633872884578894	3
ENSG00000104852.14	0.706544011830415	12
ENSG00000057704.12	0.559644897648496	1
ENSG00000168297.15	0.559660725735702	1
ENSG00000065809.13	0.559699198236232	1
ENSG00000082996.19	0.560003474934229	1
ENSG00000103978.15	0.56010865014342	1
ENSG00000028528.14	0.560700299111583	1
ENSG00000070214.15	0.560908358888212	1
ENSG00000092871.16	0.561162444854938	1
ENSG00000066084.12	0.561170901710877	1
ENSG00000078747.14	0.561391579672746	1
ENSG00000137710.14	0.561551144471391	1
ENSG00000107362.13	0.561682774818402	1
ENSG00000163393.12	0.561857338260582	1
ENSG00000170802.15	0.561953786606198	1
ENSG00000154678.16	0.562421735411523	1
ENSG00000112893.9	0.562751383927732	1
ENSG00000141540.10	0.562800609843254	1
ENSG00000150867.13	0.563173729817238	1
ENSG00000080822.16	0.564237008926076	1
ENSG00000179104.8	0.564460176188277	1
ENSG00000141458.12	0.564824801143242	1
ENSG00000005893.15	0.564887998927935	1
ENSG00000129422.14	0.565080570131454	1
ENSG00000076513.16	0.565409399152215	1
ENSG00000068903.19	0.566863321952932	1
ENSG00000139737.21	0.567043188637529	1
ENSG00000165566.12	0.567119301749198	1
ENSG00000109458.8	0.567322848021053	1
ENSG00000049245.12	0.567460445253075	1
ENSG00000166912.16	0.567485560181248	1
ENSG00000114541.14	0.568021913260773	1
ENSG00000138760.9	0.568393885033434	1
ENSG00000115468.11	0.569747628715386	1
ENSG00000075539.13	0.570915952766576	1
ENSG00000136451.8	0.573468482225238	1
ENSG00000100697.14	0.576432816087085	1
ENSG00000143418.19	0.577026123851191	1
ENSG00000157827.19	0.577501704078146	1
ENSG00000172466.15	0.581946087690814	1
ENSG00000141294.9	0.690635114935627	5
ENSG00000197748.12	0.696266266052691	5
ENSG00000137098.13	0.697840100990118	5
